TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T2,4,PDL,A,N1,4,71,14,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,A,N1,5,87,19,2,1,,6,0,,,,,1,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,A,N1,6,76.3,20,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,A,N1,7,76.8,16,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,A,N1,8,73,23,5,1,2,6,0,,,,,1,,2,1,6,0,,,,,1,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,A,N1,9,70.2,20,6,1,2,6,0,,,,1,1,,2,1,6,0,,,,,1,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,B,N1,1,66,20,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,B,N1,2,63.1,12,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,B,N1,3,74.3,23,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,B,N1,4,66.2,18,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,B,N1,5,67.5,18,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,B,N1,6,66.4,10,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,B,N1,7,64,14,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,4,PDL,B,N1,8,64.3,9,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,4,PDL,B,N1,9,73,19,0,1,,6,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T3,1,PDL,A,N2,1,70,23,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T3,1,PDL,A,N2,2,65.2,15,2,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,1,
